GBSpos,NoWomen,iso3,sampling_site,culture_method
57,563,ARE,0,0
192,891,ARE,0,0
17,531,ARG,1,0
113,1203,ARG,0,0
17,1228,ARG,0,0
84,1105,ARG,0,0
21,324,ARG,0,0
293,3125,ARG,0,0
296,1096,AUS,0,0
168,865,AUS,0,0
43,168,AUS,0,0
520,3569,AUT,0,0
36,150,BEL,0,0
94,1219,BGD,0,0
172,1166,BGD,0,0
18,110,BGR,1,1
7,100,BIH,1,1
11,42,BRA,0,0
22,86,BRA,0,0
32,167,BRA,0,0
15,106,BRA,0,0
107,598,BRA,1,0
20,101,BRA,0,0
46,316,BRA,0,0
25,102,BRA,0,0
41,201,BRA,0,0
41,201,BRA,0,0
30,198,BRA,0,0
21,221,BRA,0,0
103,405,BRA,0,0
21,213,BRA,0,0
59,273,BRA,0,0
103,405,BRA,0,0
7,45,BRA,0,0
16,105,BRA,0,0
58,144,BRA,0,1
58,411,BRA,0,0
175,1000,CAF,1,1
235,1207,CAN,0,0
184,1672,CAN,1,1
235,1207,CAN,0,0
201,949,CAN,0,0
322,1460,CAN,0,0
276,1316,CHE,0,0
124,760,CHE,0,0
102,1658,CHL,0,1
167,1181,CHL,0,0
32,168,CHN,0,0
4,367,CHN,1,1
48,600,CHN,1,1
115,1039,CHN,1,0
56,374,CHN,0,0
104,1002,CHN,0,0
21,221,CHN,0,1
25,300,CHN,0,0
81,426,CHN,0,0
17,445,CHN,0,1
72,500,CHN,0,0
49,652,CHN,0,0
110,1580,CHN,0,0
60,2776,CHN,0,1
22,354,CHN,1,1
201,2850,CHN,0,1
42,268,CHN,0,0
32,350,CHN,0,0
38,460,CHN,1,0
31,484,CHN,0,1
52,600,CHN,1,1
70,719,CHN,0,0
56,863,CHN,0,1
106,1282,CHN,0,0
157,1305,CHN,1,0
52,1394,CHN,0,1
923,10141,CHN,0,0
20,200,CHN,1,0
21,398,CHN,0,0
21,398,CHN,0,0
2529,12200,CHN,0,1
29,150,CIV,1,1
103,509,COD,1,0
1,130,COL,0,1
32,182,COL,0,0
33,120,CUB,0,0
172,586,CZE,0,0
34,210,DEU,0,0
183,869,DEU,0,0
133,784,DEU,0,0
22,58,DNK,0,0
44,442,DNK,1,0
90,207,DOM,0,0
38,150,EGY,1,0
39,150,EGY,0,0
53,200,EGY,0,0
44,623,ESP,1,0
1276,7084,ESP,0,0
1028,5670,ESP,0,0
204,1416,ESP,0,0
1359,7976,ESP,0,0
188,1180,ESP,0,0
375,2730,ESP,0,0
29,139,ETH,0,0
22,300,ETH,0,0
19,139,ETH,1,0
17,150,ETH,0,0
24,126,ETH,0,0
9,440,FJI,1,1
559,3906,FRA,1,1
57,370,FRA,0,0
116,1674,FRA,1,1
87,1460,FRA,1,1
39,500,FRA,1,0
1663,11718,FRA,1,0
